,date,user_id,text,like,tag,pp_text,like_point
388,2016-02-16T12:55:50.000Z,fitsters_es,"Mango, papaya, pitaya y chips de alga y almendra. El sabor de la fruta en Tailandia es otro nivel!👌🏼🍉🍑🍊.Mango, papaya, dragon fruit and almond seaweed crisps. Loving my snacks in Thailand! #borntobefitster #healthyliving #healthysnack #snacking #lanta #kolanta #hotlanta #seaweed #seaweedchips #papaya #dragonfruit #mango #fruit",234주,#borntobefitster #healthyliving #healthysnack #snacking #lanta #kolanta #hotlanta #seaweed #seaweedchips #papaya #dragonfruit #mango #fruit,Mangopapayapitaya y chips de alga y almendraEl sabor de la fruta en Tailandia es otro nivel Mangopapayadragon fruit and almond seaweed crispsLoving my snacks in Thailand borntobefitsterhealthylivinghealthysnacksnackinglantakolantahotlantaseaweedseaweedchipspapayadragonfruitmangofruit,0
389,2016-02-16T12:55:50.000Z,monfitbbg,Que ganas de volver a Tailandia!!!!,234주답글 달기,,Que ganas de volver a Tailandia,0
390,2016-02-16T12:55:50.000Z,carlaweiss,"Ayyyyyy! A ver si esta noche te paso los ""must"" de chiang mai 😂 y algún día espero vivirlo yo jaja",234주답글 달기,,AyyyyyyA ver si esta noche te paso losmustde chiang mai y alg n d a espero vivirlo yo jaja,0
391,2016-02-16T12:55:50.000Z,fitsters_es,@monfitbbg donde estuviste? Me está encantando 😍,234주답글 달기,,monfitbbg donde estuvisteMe estencantando,0
392,2016-02-16T12:55:50.000Z,fitsters_es,@carlaweiss si porfa!!! Me encantaría 👏🏽👏🏽,234주답글 달기,,carlaweiss si porfaMe encantar a,0
393,2016-02-16T12:55:50.000Z,monfitbbg,"En Bangkok, Krabi i Koh Samui, fueron pocos dias pero increïble, no veo el momento de volver! H la comida, ufffff!! Brutal! Estás mucho tiempo? Disfruta muchísimo bonita!!! 😙",234주답글 달기,,En BangkokKrabi i Koh Samuifueron pocos dias pero incre bleno veo el momento de volverH la comidaufffff BrutalEst s mucho tiempoDisfruta much simo bonita,0
394,2016-02-16T12:55:50.000Z,fitsters_es,"Qué guay! Yo estoy muy cerca de Krabi, en Ko Lanta. Aún me quedan dos semanitas por aquí!@monfitbbg",233주답글 달기,,QuguayYo estoy muy cerca de Krabien Ko LantaA n me quedan dos semanitas por aqu monfitbbg,0
395,2016-02-16T12:55:50.000Z,julesfuelyum,Great shot!,230주답글 달기,,Great shot,0
396,2018-01-24T13:58:51.000Z,bernerdinemorris,Most requested item from Ben Morris Homemade. Plain / Original Seaweed Chips.200gm = RM10400gm + free 100gm = RM20 Interested can contact me at 0146993076 #benmorrishomemade#seaweedchips#kuching,133주,#benmorrishomemade#seaweedchips#kuching,Most requested item from Ben Morris HomemadePlain Original Seaweed Chips 200gm RM10400gm free 100gm RM20 Interested can contact me at 0146993076benmorrishomemade seaweedchips kuching,0
397,2018-10-09T16:32:28.000Z,superfoodevolution,"Ever try Nori Nachos? They're quite tasty and a make a great chip replacement if your looking to reduce intake. Basically a dehydrated raw vegan version of ""Doritos"" some call ""Noritos"". They are relatively easy to make using raw nori sheets and a cheesy vegan nut topping.See link in 🌼BIO for our recipe....#rawchips #norinachos #dehydratedchips #kalechips #seaweedchips #seaweedsnacks #healthysnacks #seaweedsnack #rawveganfood #rawveganrecipe #rawveganrecipes #seaweedchip #norisnack #norisnack #norichips #plantbased #snackfoods #highraw #rawvegans #vegan #eatrawnotcooked ### #superfoodevolution #rawnori #nori #healthyliving #superfoodie #superfoods #doritolove #healthychips",96주,#norinachos #dehydratedchips #kalechips #seaweedchips #seaweedsnacks #healthysnacks #seaweedsnack #rawveganfood #rawveganrecipe #rawveganrecipes #seaweedchip #norisnack #norisnack #norichips #plantbased #snackfoods #highraw #rawvegans #vegan #eatrawnotcooked ### #superfoodevolution #rawnori #nori #healthyliving #superfoodie #superfoods #doritolove #healthychips,Ever try Nori NachosThey re quite tasty and a make a great chip replacement if your looking to reduce intakeBasically a dehydrated raw vegan version ofDoritossome callNoritos They are relatively easy to make using raw nori sheets and a cheesy vegan nut topping See link inBIO for our recipe rawchipsnorinachosdehydratedchipskalechipsseaweedchipsseaweedsnackshealthysnacksseaweedsnackrawveganfoodrawveganreciperawveganrecipesseaweedchipnorisnacknorisnacknorichipsplantbasedsnackfoodshighrawrawvegansveganeatrawnotcookedsuperfoodevolutionrawnorinorihealthylivingsuperfoodiesuperfoodsdoritolovehealthychips,0
