,date,user_id,text,like,tag,pp_text,like_point
775,2015-04-03T13:41:20.000Z,kyuseonshim,처음 올라보는 북악팔각정🙌 #cycling #riding #roadbike #bugak #북악 #팔각정 #업힐 #라이딩 #자전거 #커플들이너무많다,279주,#cycling #riding #roadbike #bugak #북악 #팔각정 #업힐 #라이딩 #자전거 #커플들이너무많다,cyclingridingroadbikebugak,0
776,2015-04-03T13:41:20.000Z,actor_yuseung,자이자이자식보게나...,279주답글 달기,,,0
777,2015-04-03T13:41:20.000Z,actor_yuseung,잼잇냐,279주답글 달기,,,0
778,2015-04-03T13:41:20.000Z,kyuseonshim,@jaekyun 몸은 힘든데 꿀잼이에요ㅋㅋㅋㅋㅋ😁,279주답글 달기,,jaekyun,0
779,2015-04-03T13:41:20.000Z,actor_yuseung,@kyuseonshim 꿀잠자라이제,279주답글 달기,,kyuseonshim,0
780,2015-04-03T13:41:20.000Z,kyuseonshim,@jaekyun 옙ㅋㅋㅋ 할아버지도 꿀잠주무세요😪,279주답글 달기,,jaekyun,0
781,2018-09-22T07:47:14.000Z,nalzomboso3579,#seaweed & vegetable chips#Vegan crisps#김부각#kimbugak#Bugak #오희숙전통부각#식품명인25호 부각명인#www.ohs.co.kr,98주,#seaweed #오희숙전통부각#식품명인25호,seaweed vegetable chips Vegan crisps kimbugak Bugak25 www ohs co kr,0
782,2018-09-05T11:07:47.000Z,nalzomboso3579,라이딩#seaweed & vegetable chips#Korean crisps#김부각#kimbugak#Bugak #오희숙전통부각#식품명인25호 부각명인,101주,#오희숙전통부각#식품명인25호,seaweed vegetable chips Korean crisps kimbugak Bugak25,0
783,2019-03-28T02:15:10.000Z,souldining,How to plate our beef tartare.⁣.⁣.⁣Wine suggestion: Dr. Nadeson Riesling by @lethbridge_wines.⁣⁣#beeftartare #plating #souldining #modernkorean #trysomethingnew #soulfood #sydneyeats #easternsydney #surryhills #foodofsydney #sydneyfoodies #surryhillsrestaurants #surryhillsfood #hungry #sydneyfoodie #bugak #surryhillseats #육회 #foodstagram #foodgram #instafood #instafoodie,72주,#plating #souldining #modernkorean #trysomethingnew #soulfood #sydneyeats #easternsydney #surryhills #foodofsydney #sydneyfoodies #surryhillsrestaurants #surryhillsfood #hungry #sydneyfoodie #bugak #surryhillseats #육회 #foodstagram #foodgram #instafood #instafoodie,How to plate our beef tartareWine suggestionDrNadeson Riesling bylethbridge winesbeeftartareplatingsouldiningmodernkoreantrysomethingnewsoulfoodsydneyeatseasternsydneysurryhillsfoodofsydneysydneyfoodiessurryhillsrestaurantssurryhillsfoodhungrysydneyfoodiebugaksurryhillseatsfoodstagramfoodgraminstafoodinstafoodie,0
784,2019-04-23T21:45:29.000Z,nalzomboso3579,#seaweed crisps#vegetable chips#Vegan crisps#USDA#김부각#kimbugak#Bugak #오희숙전통부각#식품명인25호 부각명인.,68주,#seaweed #오희숙전통부각#식품명인25호,seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,0
